d_name,d_speciality,total_score,total_survey_count,five_star,five_star_percentage,four_star,four_star_percentage,three_star,three_star_percentage,two_star,two_star_percentage,one_star,one_star_percentage,positive_tags,negative_tags,comment_text
"Dr. Yaser Mustafa, MD",Family Medicine,4.6,Based on 9 ratings,5 Star,89%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,11%,"['Explained conditions well (6)', 'Appointment scheduling (5)', ""Appointment wasn't rushed (5)"", 'Listened & answered questions (5)', 'Staff friendliness (5)', ""Trusted the provider's decisions (5)"", 'Wait times (4)']","['Appointment was rushed (1)', ""Didn't explain conditions well (1)"", ""Didn't listen or answer questions (1)"", ""Didn't trust the provider's decisions (1)"", ""Staff wasn't friendly (1)""]",Best doctor in town!
"Dr. Yaser Mustafa, MD",Family Medicine,4.6,Based on 9 ratings,5 Star,89%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,11%,"['Explained conditions well (6)', 'Appointment scheduling (5)', ""Appointment wasn't rushed (5)"", 'Listened & answered questions (5)', 'Staff friendliness (5)', ""Trusted the provider's decisions (5)"", 'Wait times (4)']","['Appointment was rushed (1)', ""Didn't explain conditions well (1)"", ""Didn't listen or answer questions (1)"", ""Didn't trust the provider's decisions (1)"", ""Staff wasn't friendly (1)""]","Dr. Mustafa is an amazing doctor! He takes his time when he talks with you and explains everything really well. I was very sick that day, and he did all necessary testing to make sure I am ok. Very knowledgeable and speaks 3 languages! I recommend him to everyone that wants be in good hands"
"Dr. Milad Saad, DDS",Dentistry,5.0,Based on 3 ratings,5 Star,100%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,0%,"['Appointment scheduling (3)', ""Appointment wasn't rushed (3)"", 'Explained conditions well (3)', 'Listened & answered questions (3)', 'Staff friendliness (3)', ""Trusted the provider's decisions (3)"", 'Wait times (2)']",[],"Although I'm a patient from a previous practice dentist. I really like Dr Saad and what he as the new owner has brought to the Waukegan Family Dental. Dr. Saad has completely updated the office aesthetically but also with modern, high-tech dental equipment. His staff is friendly and efficient. Dr. Saad is kind, friendly and takes time to know you but has also thoroughly answered any questions/concerns I may have. My daughter loves her visits too and learning words in his native language."
"Dr. Milad Saad, DDS",Dentistry,5.0,Based on 3 ratings,5 Star,100%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,0%,"['Appointment scheduling (3)', ""Appointment wasn't rushed (3)"", 'Explained conditions well (3)', 'Listened & answered questions (3)', 'Staff friendliness (3)', ""Trusted the provider's decisions (3)"", 'Wait times (2)']",[],"Dr. Saad always keeps my family informed of what he is doing, the options available and the recommendations that he gives. the kids all love him and his staff. Gladys is always helpful, and has at times gone out of her way to help. You feel like family whe you go to this office. Would and have recommended to many others. Very happy with this practice."
"Dr. Leslie Alzuhn-Hansen, MD",Functional Medicine,3.9,Based on 11 ratings,5 Star,73%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,27%,"['Wait times (9)', ""Appointment wasn't rushed (8)"", 'Explained conditions well (8)', 'Listened & answered questions (8)', 'Staff friendliness (8)', ""Trusted the provider's decisions (8)"", 'Appointment scheduling (7)']","['Appointment was rushed (3)', ""Didn't explain conditions well (3)"", ""Didn't listen or answer questions (3)"", ""Didn't trust the provider's decisions (3)"", 'Difficult to schedule appointment (2)', ""Staff wasn't friendly (2)""]",The doctor did not care about her patients just the bottom line. Her husband is her secretary and answers her phones. He is rude and does not return calls.
"Dr. Leslie Alzuhn-Hansen, MD",Functional Medicine,3.9,Based on 11 ratings,5 Star,73%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,27%,"['Wait times (9)', ""Appointment wasn't rushed (8)"", 'Explained conditions well (8)', 'Listened & answered questions (8)', 'Staff friendliness (8)', ""Trusted the provider's decisions (8)"", 'Appointment scheduling (7)']","['Appointment was rushed (3)', ""Didn't explain conditions well (3)"", ""Didn't listen or answer questions (3)"", ""Didn't trust the provider's decisions (3)"", 'Difficult to schedule appointment (2)', ""Staff wasn't friendly (2)""]","Dr. Hansen took over two weeks to get back to me with test results her husband, Doug, said were ready. They kept saying she is busy; furthermore, Dr. Hansen only seems interested in amp-in up business and does not care about the patients. I would not recommend this doctor."
"Dr. Leslie Alzuhn-Hansen, MD",Functional Medicine,3.9,Based on 11 ratings,5 Star,73%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,27%,"['Wait times (9)', ""Appointment wasn't rushed (8)"", 'Explained conditions well (8)', 'Listened & answered questions (8)', 'Staff friendliness (8)', ""Trusted the provider's decisions (8)"", 'Appointment scheduling (7)']","['Appointment was rushed (3)', ""Didn't explain conditions well (3)"", ""Didn't listen or answer questions (3)"", ""Didn't trust the provider's decisions (3)"", 'Difficult to schedule appointment (2)', ""Staff wasn't friendly (2)""]",Leslie is very knowledgeable and explains the process very well. we look forward to being in her care
"Dr. Leslie Alzuhn-Hansen, MD",Functional Medicine,3.9,Based on 11 ratings,5 Star,73%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,27%,"['Wait times (9)', ""Appointment wasn't rushed (8)"", 'Explained conditions well (8)', 'Listened & answered questions (8)', 'Staff friendliness (8)', ""Trusted the provider's decisions (8)"", 'Appointment scheduling (7)']","['Appointment was rushed (3)', ""Didn't explain conditions well (3)"", ""Didn't listen or answer questions (3)"", ""Didn't trust the provider's decisions (3)"", 'Difficult to schedule appointment (2)', ""Staff wasn't friendly (2)""]",felt as if I mattered and really listened
"Dr. Leslie Alzuhn-Hansen, MD",Functional Medicine,3.9,Based on 11 ratings,5 Star,73%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,27%,"['Wait times (9)', ""Appointment wasn't rushed (8)"", 'Explained conditions well (8)', 'Listened & answered questions (8)', 'Staff friendliness (8)', ""Trusted the provider's decisions (8)"", 'Appointment scheduling (7)']","['Appointment was rushed (3)', ""Didn't explain conditions well (3)"", ""Didn't listen or answer questions (3)"", ""Didn't trust the provider's decisions (3)"", 'Difficult to schedule appointment (2)', ""Staff wasn't friendly (2)""]",Dr. Hansen has exceptional bedside manner and her staff was excellent.
"Dr. Leslie Alzuhn-Hansen, MD",Functional Medicine,3.9,Based on 11 ratings,5 Star,73%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,27%,"['Wait times (9)', ""Appointment wasn't rushed (8)"", 'Explained conditions well (8)', 'Listened & answered questions (8)', 'Staff friendliness (8)', ""Trusted the provider's decisions (8)"", 'Appointment scheduling (7)']","['Appointment was rushed (3)', ""Didn't explain conditions well (3)"", ""Didn't listen or answer questions (3)"", ""Didn't trust the provider's decisions (3)"", 'Difficult to schedule appointment (2)', ""Staff wasn't friendly (2)""]",pleasent
"Dr. Leslie Alzuhn-Hansen, MD",Functional Medicine,3.9,Based on 11 ratings,5 Star,73%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,27%,"['Wait times (9)', ""Appointment wasn't rushed (8)"", 'Explained conditions well (8)', 'Listened & answered questions (8)', 'Staff friendliness (8)', ""Trusted the provider's decisions (8)"", 'Appointment scheduling (7)']","['Appointment was rushed (3)', ""Didn't explain conditions well (3)"", ""Didn't listen or answer questions (3)"", ""Didn't trust the provider's decisions (3)"", 'Difficult to schedule appointment (2)', ""Staff wasn't friendly (2)""]",What a great physician experience.
"Dr. Leslie Alzuhn-Hansen, MD",Functional Medicine,3.9,Based on 11 ratings,5 Star,73%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,27%,"['Wait times (9)', ""Appointment wasn't rushed (8)"", 'Explained conditions well (8)', 'Listened & answered questions (8)', 'Staff friendliness (8)', ""Trusted the provider's decisions (8)"", 'Appointment scheduling (7)']","['Appointment was rushed (3)', ""Didn't explain conditions well (3)"", ""Didn't listen or answer questions (3)"", ""Didn't trust the provider's decisions (3)"", 'Difficult to schedule appointment (2)', ""Staff wasn't friendly (2)""]",Answererd all my questions and more!
"Dr. Leslie Alzuhn-Hansen, MD",Functional Medicine,3.9,Based on 11 ratings,5 Star,73%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,27%,"['Wait times (9)', ""Appointment wasn't rushed (8)"", 'Explained conditions well (8)', 'Listened & answered questions (8)', 'Staff friendliness (8)', ""Trusted the provider's decisions (8)"", 'Appointment scheduling (7)']","['Appointment was rushed (3)', ""Didn't explain conditions well (3)"", ""Didn't listen or answer questions (3)"", ""Didn't trust the provider's decisions (3)"", 'Difficult to schedule appointment (2)', ""Staff wasn't friendly (2)""]",I really appreciated Dr. Hansen spending an hour reviewing my hormone therapy. She is a great listener and offers helpful professional advice.
"Dr. Ala Klimuk, MD",Family Medicine,4.5,Based on 31 ratings,5 Star,84%,4 Star,3%,3 Star,3%,2 Star,0%,1 Star,10%,"['Explained conditions well (25)', 'Listened & answered questions (25)', ""Trusted the provider's decisions (25)"", 'Appointment scheduling (24)', ""Appointment wasn't rushed (24)"", 'Staff friendliness (24)', 'Wait times (13)']","[""Didn't trust the provider's decisions (3)"", 'Difficult to schedule appointment (3)', ""Staff wasn't friendly (3)"", 'Appointment was rushed (2)', ""Didn't explain conditions well (2)"", ""Didn't listen or answer questions (2)"", 'Long wait times (2)']","The Worst Doctor
After doing some research, I decided to schedule an appointment with Dr. Ala Klimuk. She is by far the WORST doctor that I have ever met. She only cares about how much money she can make, but doesn't care about her patients. I had blood tests done with her and some of them came back abnormal. First, they do not have any online patient portal. Second, she didn't bother to call to discuss the results with me. I was the one who had to call several times to find out if they received the results. Also, while I was under her care, I ended up in emergency room with some sharp pain. Few days later, I scheduled an appointment with her because the pain didn't go away completely and I was concerned, even though ER could not find anything wrong. Without investigating any further, Dr. Klimuk sent me back to the ER. She NEVER followed up with me to see what the issue was. I ended up paying so much for my unnecessary second trip to the emergency room. I would not recommend her to anyone."
"Dr. Ala Klimuk, MD",Family Medicine,4.5,Based on 31 ratings,5 Star,84%,4 Star,3%,3 Star,3%,2 Star,0%,1 Star,10%,"['Explained conditions well (25)', 'Listened & answered questions (25)', ""Trusted the provider's decisions (25)"", 'Appointment scheduling (24)', ""Appointment wasn't rushed (24)"", 'Staff friendliness (24)', 'Wait times (13)']","[""Didn't trust the provider's decisions (3)"", 'Difficult to schedule appointment (3)', ""Staff wasn't friendly (3)"", 'Appointment was rushed (2)', ""Didn't explain conditions well (2)"", ""Didn't listen or answer questions (2)"", 'Long wait times (2)']",Terrific doctor Intelligent Focused on the issue Successfully addressed the issue Best doctor i ever had
"Dr. Ala Klimuk, MD",Family Medicine,4.5,Based on 31 ratings,5 Star,84%,4 Star,3%,3 Star,3%,2 Star,0%,1 Star,10%,"['Explained conditions well (25)', 'Listened & answered questions (25)', ""Trusted the provider's decisions (25)"", 'Appointment scheduling (24)', ""Appointment wasn't rushed (24)"", 'Staff friendliness (24)', 'Wait times (13)']","[""Didn't trust the provider's decisions (3)"", 'Difficult to schedule appointment (3)', ""Staff wasn't friendly (3)"", 'Appointment was rushed (2)', ""Didn't explain conditions well (2)"", ""Didn't listen or answer questions (2)"", 'Long wait times (2)']",Dr. Klimuk has been the Primary Care Provider for me and my wife. She is an excellent doctor.
"Dr. Ala Klimuk, MD",Family Medicine,4.5,Based on 31 ratings,5 Star,84%,4 Star,3%,3 Star,3%,2 Star,0%,1 Star,10%,"['Explained conditions well (25)', 'Listened & answered questions (25)', ""Trusted the provider's decisions (25)"", 'Appointment scheduling (24)', ""Appointment wasn't rushed (24)"", 'Staff friendliness (24)', 'Wait times (13)']","[""Didn't trust the provider's decisions (3)"", 'Difficult to schedule appointment (3)', ""Staff wasn't friendly (3)"", 'Appointment was rushed (2)', ""Didn't explain conditions well (2)"", ""Didn't listen or answer questions (2)"", 'Long wait times (2)']",Could not ask for a better doctor
"Dr. Ala Klimuk, MD",Family Medicine,4.5,Based on 31 ratings,5 Star,84%,4 Star,3%,3 Star,3%,2 Star,0%,1 Star,10%,"['Explained conditions well (25)', 'Listened & answered questions (25)', ""Trusted the provider's decisions (25)"", 'Appointment scheduling (24)', ""Appointment wasn't rushed (24)"", 'Staff friendliness (24)', 'Wait times (13)']","[""Didn't trust the provider's decisions (3)"", 'Difficult to schedule appointment (3)', ""Staff wasn't friendly (3)"", 'Appointment was rushed (2)', ""Didn't explain conditions well (2)"", ""Didn't listen or answer questions (2)"", 'Long wait times (2)']",This is the only doctor I trust
"Dr. Ala Klimuk, MD",Family Medicine,4.5,Based on 31 ratings,5 Star,84%,4 Star,3%,3 Star,3%,2 Star,0%,1 Star,10%,"['Explained conditions well (25)', 'Listened & answered questions (25)', ""Trusted the provider's decisions (25)"", 'Appointment scheduling (24)', ""Appointment wasn't rushed (24)"", 'Staff friendliness (24)', 'Wait times (13)']","[""Didn't trust the provider's decisions (3)"", 'Difficult to schedule appointment (3)', ""Staff wasn't friendly (3)"", 'Appointment was rushed (2)', ""Didn't explain conditions well (2)"", ""Didn't listen or answer questions (2)"", 'Long wait times (2)']",Dr Klumk is excellent. I'm choosing her as my primary. She is not only a genius but very thorough. I'm lucky to have found her. Only complaint is there can be a little wait but that's because she takes the time with her patience as needed and Ill take that over a little wait time.
"Dr. Ala Klimuk, MD",Family Medicine,4.5,Based on 31 ratings,5 Star,84%,4 Star,3%,3 Star,3%,2 Star,0%,1 Star,10%,"['Explained conditions well (25)', 'Listened & answered questions (25)', ""Trusted the provider's decisions (25)"", 'Appointment scheduling (24)', ""Appointment wasn't rushed (24)"", 'Staff friendliness (24)', 'Wait times (13)']","[""Didn't trust the provider's decisions (3)"", 'Difficult to schedule appointment (3)', ""Staff wasn't friendly (3)"", 'Appointment was rushed (2)', ""Didn't explain conditions well (2)"", ""Didn't listen or answer questions (2)"", 'Long wait times (2)']",She is the best doctor I ever saw. She is taking all necessary time to help her patients plus she is very knowledgeable and nice!
"Dr. Ala Klimuk, MD",Family Medicine,4.5,Based on 31 ratings,5 Star,84%,4 Star,3%,3 Star,3%,2 Star,0%,1 Star,10%,"['Explained conditions well (25)', 'Listened & answered questions (25)', ""Trusted the provider's decisions (25)"", 'Appointment scheduling (24)', ""Appointment wasn't rushed (24)"", 'Staff friendliness (24)', 'Wait times (13)']","[""Didn't trust the provider's decisions (3)"", 'Difficult to schedule appointment (3)', ""Staff wasn't friendly (3)"", 'Appointment was rushed (2)', ""Didn't explain conditions well (2)"", ""Didn't listen or answer questions (2)"", 'Long wait times (2)']","We are so happy to have found Dr. Klimuk. Facilities are new and very nice. Reception excellent, easy to work with. Nurse takes time to listen and took very good care of my wife. Dr. Klimuk is outstanding. She took all the time my wife needed to talk, answer questions, ask questions. Just all around a great doctor and we are VERY happy with her!! Highly recommend."
"Dr. Ala Klimuk, MD",Family Medicine,4.5,Based on 31 ratings,5 Star,84%,4 Star,3%,3 Star,3%,2 Star,0%,1 Star,10%,"['Explained conditions well (25)', 'Listened & answered questions (25)', ""Trusted the provider's decisions (25)"", 'Appointment scheduling (24)', ""Appointment wasn't rushed (24)"", 'Staff friendliness (24)', 'Wait times (13)']","[""Didn't trust the provider's decisions (3)"", 'Difficult to schedule appointment (3)', ""Staff wasn't friendly (3)"", 'Appointment was rushed (2)', ""Didn't explain conditions well (2)"", ""Didn't listen or answer questions (2)"", 'Long wait times (2)']","very smart and careful, our family all like her very much!"
"Dr. Ala Klimuk, MD",Family Medicine,4.5,Based on 31 ratings,5 Star,84%,4 Star,3%,3 Star,3%,2 Star,0%,1 Star,10%,"['Explained conditions well (25)', 'Listened & answered questions (25)', ""Trusted the provider's decisions (25)"", 'Appointment scheduling (24)', ""Appointment wasn't rushed (24)"", 'Staff friendliness (24)', 'Wait times (13)']","[""Didn't trust the provider's decisions (3)"", 'Difficult to schedule appointment (3)', ""Staff wasn't friendly (3)"", 'Appointment was rushed (2)', ""Didn't explain conditions well (2)"", ""Didn't listen or answer questions (2)"", 'Long wait times (2)']","Dr. Ala Klimuk is a genius. Her level of knowledge is greater than specialized doctors. She gives you full attention and timing instead of rushing through an appointment. And she truly cares about your diagnosis. This year I got new insurance so I haven't been able to go to her and I've had to keep switching doctors because none can compare, I'm just gonna go back to her!"
"Dr. Ala Klimuk, MD",Family Medicine,4.5,Based on 31 ratings,5 Star,84%,4 Star,3%,3 Star,3%,2 Star,0%,1 Star,10%,"['Explained conditions well (25)', 'Listened & answered questions (25)', ""Trusted the provider's decisions (25)"", 'Appointment scheduling (24)', ""Appointment wasn't rushed (24)"", 'Staff friendliness (24)', 'Wait times (13)']","[""Didn't trust the provider's decisions (3)"", 'Difficult to schedule appointment (3)', ""Staff wasn't friendly (3)"", 'Appointment was rushed (2)', ""Didn't explain conditions well (2)"", ""Didn't listen or answer questions (2)"", 'Long wait times (2)']","Dr. Klimuk is my favorite physician. I have gone to a few primary care physicians before I started going to her almost 5 years ago. She is simply unique. Now even my 70 year old mother, my husband and kids go to her. It is no surprise that patients simply love her. All the best to her!!"
"Dr. Ala Klimuk, MD",Family Medicine,4.5,Based on 31 ratings,5 Star,84%,4 Star,3%,3 Star,3%,2 Star,0%,1 Star,10%,"['Explained conditions well (25)', 'Listened & answered questions (25)', ""Trusted the provider's decisions (25)"", 'Appointment scheduling (24)', ""Appointment wasn't rushed (24)"", 'Staff friendliness (24)', 'Wait times (13)']","[""Didn't trust the provider's decisions (3)"", 'Difficult to schedule appointment (3)', ""Staff wasn't friendly (3)"", 'Appointment was rushed (2)', ""Didn't explain conditions well (2)"", ""Didn't listen or answer questions (2)"", 'Long wait times (2)']","When you've been suffering with a chronic condition for a while, it is crucial to be partnered with a competent & compassionate doctor and healthcare team. I commend Dr. Klimuk for her - - professionalism, care & excellent patient education - the time she takes to review my health history, coming prepared to our appointments - her dedication & thoroughness to the scientific approach of analysis & discovery"
"Dr. Ala Klimuk, MD",Family Medicine,4.5,Based on 31 ratings,5 Star,84%,4 Star,3%,3 Star,3%,2 Star,0%,1 Star,10%,"['Explained conditions well (25)', 'Listened & answered questions (25)', ""Trusted the provider's decisions (25)"", 'Appointment scheduling (24)', ""Appointment wasn't rushed (24)"", 'Staff friendliness (24)', 'Wait times (13)']","[""Didn't trust the provider's decisions (3)"", 'Difficult to schedule appointment (3)', ""Staff wasn't friendly (3)"", 'Appointment was rushed (2)', ""Didn't explain conditions well (2)"", ""Didn't listen or answer questions (2)"", 'Long wait times (2)']",Dr Klimuk takes the the time to listen as well as asks numerous questions to help figure out what is causing your symptoms. Her Staff is amazing and very kind.
"Dr. Ala Klimuk, MD",Family Medicine,4.5,Based on 31 ratings,5 Star,84%,4 Star,3%,3 Star,3%,2 Star,0%,1 Star,10%,"['Explained conditions well (25)', 'Listened & answered questions (25)', ""Trusted the provider's decisions (25)"", 'Appointment scheduling (24)', ""Appointment wasn't rushed (24)"", 'Staff friendliness (24)', 'Wait times (13)']","[""Didn't trust the provider's decisions (3)"", 'Difficult to schedule appointment (3)', ""Staff wasn't friendly (3)"", 'Appointment was rushed (2)', ""Didn't explain conditions well (2)"", ""Didn't listen or answer questions (2)"", 'Long wait times (2)']","My daughter's 1st appt as a new patient - We were very pleased to have chosen Dr. Klimuk she was very professional and answered all our questions in detail, gave my teenager good health advise, and spent time discussing her health concerns and queries. Office staff was friendly and accomodating - we were walk ins with no appointment. Overall very satisfied with Dr. Klimuk and her staff - 5 stars - Nula D'Abreo"
"Dr. Georgia Williams, DDS",Dentistry,5.0,Based on 5 ratings,5 Star,100%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,0%,[],[],NA
"Dr. Cailyn Lloyd, DDS",Dentistry,5.0,Based on 1 rating,5 Star,100%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,0%,[],[],NA
"Dr. Syed Haider, MD",Internal Medicine,4.8,Based on 41 ratings,5 Star,95%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,5%,"['Listened & answered questions (34)', 'Explained conditions well (33)', ""Trusted the provider's decisions (33)"", 'Appointment scheduling (27)', ""Appointment wasn't rushed (25)"", 'Wait times (25)', 'Staff friendliness (21)']","[""Didn't explain conditions well (2)"", ""Didn't listen or answer questions (2)"", 'Long wait times (2)', 'Appointment was rushed (1)', ""Didn't trust the provider's decisions (1)"", 'Difficult to schedule appointment (1)', ""Staff wasn't friendly (1)""]","Appreciation
Such a god doctor really appreciate you for everything and the words of encouragement. May you remain blessed. onlineshippingcontainers.net"
"Dr. Syed Haider, MD",Internal Medicine,4.8,Based on 41 ratings,5 Star,95%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,5%,"['Listened & answered questions (34)', 'Explained conditions well (33)', ""Trusted the provider's decisions (33)"", 'Appointment scheduling (27)', ""Appointment wasn't rushed (25)"", 'Wait times (25)', 'Staff friendliness (21)']","[""Didn't explain conditions well (2)"", ""Didn't listen or answer questions (2)"", 'Long wait times (2)', 'Appointment was rushed (1)', ""Didn't trust the provider's decisions (1)"", 'Difficult to schedule appointment (1)', ""Staff wasn't friendly (1)""]","Quick response, very helpful
Dr. Haider replies very quickly to my inquiries, and his staff are very professional, efficient, kind & helpful. I am very satisfied with the level of care & service provided."
"Dr. Syed Haider, MD",Internal Medicine,4.8,Based on 41 ratings,5 Star,95%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,5%,"['Listened & answered questions (34)', 'Explained conditions well (33)', ""Trusted the provider's decisions (33)"", 'Appointment scheduling (27)', ""Appointment wasn't rushed (25)"", 'Wait times (25)', 'Staff friendliness (21)']","[""Didn't explain conditions well (2)"", ""Didn't listen or answer questions (2)"", 'Long wait times (2)', 'Appointment was rushed (1)', ""Didn't trust the provider's decisions (1)"", 'Difficult to schedule appointment (1)', ""Staff wasn't friendly (1)""]",Saving lives!! Thank you too you and your amazing staff!
